station_id,code,name,zone,latitude,longitude,zone_code,region
1,NDLS,New Delhi,NCR,28.649,77.226,NCR,NCR
2,CSTM,Mumbai Central,WR,18.97,72.82,WR,WR
3,HWH,Howrah,ER,22.565,88.344,ER,ER
4,MAS,Chennai Central,SR,13.082,80.264,SR,SR
5,SBC,Bangalore City,SR,12.953,77.594,SR,SR
6,SC,Secunderabad,SCR,17.366,78.501,SCR,SCR
7,NZM,Hazrat Nizamuddin,NCR,28.568,77.259,NCR,NCR
8,LTT,Lokmanya Tilak,WR,19.017,72.824,WR,WR
9,SDAH,Sealdah,ER,22.547,88.361,ER,ER
10,KPD,Kanchipuram,SR,12.844,79.892,SR,SR
11,STN00011,Station 11,ER,20.0,75.0,ER,ER
12,STN00012,Station 12,NCR,20.0,75.5,NCR,NCR
13,STN00013,Station 13,NR,20.0,76.0,NR,NR
14,STN00014,Station 14,NE,20.0,76.5,NE,NE
15,STN00015,Station 15,NF,20.0,77.0,NF,NF
16,STN00016,Station 16,NK,20.0,77.5,NK,NK
17,STN00017,Station 17,SR,20.0,78.0,SR,SR
18,STN00018,Station 18,SCoR,20.0,78.5,SCoR,SCoR
19,STN00019,Station 19,SCR,20.0,79.0,SCR,SCR
20,STN00020,Station 20,WR,20.0,79.5,WR,WR
21,STN00021,Station 21,WCR,20.0,80.0,WCR,WCR
22,STN00022,Station 22,CC,20.0,80.5,CC,CC
23,STN00023,Station 23,ECoR,20.0,81.0,ECoR,ECoR
24,STN00024,Station 24,CR,20.0,81.5,CR,CR
25,STN00025,Station 25,KR,20.0,82.0,KR,KR
26,STN00026,Station 26,ER,20.0,82.5,ER,ER
27,STN00027,Station 27,NCR,20.0,83.0,NCR,NCR
28,STN00028,Station 28,NR,20.0,83.5,NR,NR
29,STN00029,Station 29,NE,20.0,84.0,NE,NE
30,STN00030,Station 30,NF,20.0,84.5,NF,NF
31,STN00031,Station 31,NK,20.0,85.0,NK,NK
32,STN00032,Station 32,SR,20.0,85.5,SR,SR
33,STN00033,Station 33,SCoR,20.0,86.0,SCoR,SCoR
34,STN00034,Station 34,SCR,20.0,86.5,SCR,SCR
35,STN00035,Station 35,WR,20.0,87.0,WR,WR
36,STN00036,Station 36,WCR,20.0,87.5,WCR,WCR
